종_한글명,사육_난이도_5단계,초기비용_등급_5단계,성체크기_등급_3단계,온도습도_5단계,활동패턴,식성타입,먹이빈도_등급,핸들링적합도_5단계,사육장_사이즈_3단계,외형태그,종류,관상용_애완용,사진_URL
레드아이 트리프록,4,3,1,4,야행성,육식,4,1,1,귀엽다,개구리,관상용,https://cdn-pro-web-152-57.cdn-nhncommerce.com/seoulreptile_godomall_com/data/editor/goods/220101/011438922038c4d9c81f94863ea95f0d_181859.jpg
크라운 트리 프록,4,3,1,4,야행성,육식,4,1,1,"귀엽고, 화려하다",개구리,관상용,https://mblogthumb-phinf.pstatic.net/20110115_112/x5ced_12950948610511bFut_JPEG/clown.jpg?type=w420
파이어 살라만다,3,2,1,3,주행성,육식,3,2,2,화려하다,도롱뇽,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Feuersalamander-salamandra-salamandra.jpg
블루텅 스킨크,2,3,2,3,주행성,잡식,1,4,3,귀엽다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Tiliqua_scincoides_%283187318278%29.jpg
케냐 샌드보아,3,3,2,2,야행성,육식,1,4,2,"귀엽고, 화려하다",뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Eryx_colubrinus_close_up.jpg
호그노즈 스네이크,3,3,2,2,야행성,육식,1,3,2,귀엽다,뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Western_Hognose_Snake_%28Heterodon_nasicus%29._High_resolution_image._%28614d8699-155d-451f-6761-d3f40052d1ff%29.JPG
블랙 킹 스네이크,3,2,3,2,야행성,육식,1,3,3,"귀엽고, 멋지다",뱀,둘 다,https://commons.wikimedia.org/wiki/Special:FilePath/Black_kingsnake_eating.jpg
캘리포니아 킹 스네이크,2,2,3,2,야행성,육식,1,3,3,멋있다,뱀,둘 다,https://commons.wikimedia.org/wiki/Special:FilePath/California_kingsnake.jpg
토케이 게코,3,2,2,4,야행성,육식,3,3,3,"멋있고, 화려하다",게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Tokay.jpg
골든 스파니테일 게코,3,3,1,3,야행성,육식,3,2,2,귀엽고 화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Golden_Tailed_Gecko.jpg
베일드 카멜레온,3,2,1,3,주행성,육식,4,3,3,화려하다,카멜레온,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Chamaeleo_calyptratus_Esapolis_02.jpg
세네갈 카멜레온,4,2,1,4,주행성,육식,4,2,3,화려하다,카멜레온,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Senegal_chameleon_%28Chamaeleo_senegalensis%29.jpg
알다브라 육지거북,5,5,3,3,주행성,초식,5,3,3,화려하다,육지 거북,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Giant_Tortoise.JPG
설가타육지거북,4,4,3,3,주행성,초식,5,3,3,멋있다,육지 거북,둘 다,https://commons.wikimedia.org/wiki/Special:FilePath/Centrochelys_sulcata.jpg
팬케이크 육지거북,3,4,2,2,주행성,초식,5,3,2,"귀엽고, 멋지다",육지 거북,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Malacochersus_tornieri.jpg
